type,step,input_similarities,output_similarities,token_expert_predict_accuracy
prefilling,1,"[0.07005968354077544, 0.7068610636068822, 0.7583622039254342, 0.7920285399845621, 0.7869923477453759, 0.8452043258777143, 0.8485281433914128, 0.8412041936044995, 0.8704790419432928, 0.870978577175079, 0.8663302155509813, 0.8619919258980083, 0.9038272937625025, 0.9245142356782535, 0.9368801958005972, 0.941343963811498, 0.9428913792291189, 0.9448851034992607, 0.9388286210245557, 0.9492132008668426, 0.9496493174339721, 0.9569828932681993, 0.951767387585887, 0.9506110161844432, 0.9604499601679825, 0.9543417890042907]","[0.263915878718462, 0.8803766990850579, 0.9375335074976522, 0.9568114763492603, 0.967740319052559, 0.9810839805481928, 0.9829868858312546, 0.9849238568320263, 0.9887527307737451, 0.9891605507645607, 0.9847214259884417, 0.9704719725663071, 0.9733652857862102, 0.9820368541979442, 0.9820146437530135, 0.9793339373547476, 0.9796235769614717, 0.9759675415076554, 0.9801632796705773, 0.9745339955305647, 0.9787342457822036, 0.9832806990383929, 0.9785154492848401, 0.9792194650109803, 0.9782537421784493, 0.9536956551276348]","[0.2197825486958027, 0.6814117991924286, 0.7819479036331177, 0.8174108868837356, 0.8195697140693664, 0.8531691396236419, 0.8623527008295059, 0.8586236727237702, 0.8732012277841568, 0.8772072106599808, 0.8607869356870651, 0.8233728265762329, 0.8320193594694137, 0.8708505553007125, 0.8693915587663651, 0.8741315829753876, 0.8720777064561844, 0.8544462275505066, 0.8667254322767257, 0.8521979266405105, 0.8470725011825562, 0.8663012540340423, 0.8679014921188355, 0.8379513567686081, 0.8453478598594666, 0.8003734618425369]"
prefilling,2,"[0.09300566668288282, 0.5399564943713671, 0.6107429887268794, 0.6421268863372188, 0.6939663397510002, 0.7385995324232453, 0.7438983317267271, 0.7587065333002349, 0.7823547871126025, 0.7879117909793292, 0.7706908489584843, 0.7869465815527789, 0.8432903279288552, 0.869617001094425, 0.8892130853542748, 0.8902387690074798, 0.8933839384077928, 0.8904560345577364, 0.8942395241425797, 0.8987622941611342, 0.9090392887687356, 0.9113951222893051, 0.9017867982271766, 0.9058000247559287, 0.9017993510175525]","[0.2684398627720317, 0.8169977971852224, 0.8982102610798329, 0.925170838980601, 0.9493857076710127, 0.9625852033454863, 0.9694535122847953, 0.9761085280167847, 0.975712967602205, 0.9720019731079095, 0.9486394733284713, 0.9315717468182437, 0.9529920446331149, 0.9604082194290623, 0.9608084581334645, 0.9593415789193195, 0.9457415065467332, 0.9594502446927459, 0.951822036432687, 0.9463389710261906, 0.9552170988151233, 0.9573402119309529, 0.9506046530166569, 0.9469116728151176, 0.8894133928794555]","[0.2282791919261217, 0.6220587295293808, 0.713700949549675, 0.7404522842168808, 0.7728485751152039, 0.8039997643232346, 0.8052940708398819, 0.8204924643039704, 0.8277751564979553, 0.8058100128173828, 0.7735983651876449, 0.7360506331920624, 0.8059666925668716, 0.8116380196809768, 0.8246656930446625, 0.8184241616725921, 0.7998203992843628, 0.8099806976318359, 0.7974946904182434, 0.771229640841484, 0.788817418217659, 0.8123208504915237, 0.7746597969532013, 0.7735276466608048, 0.7310293358564377]"
prefilling,3,"[0.1274976035820288, 0.4306704539122974, 0.4951269763407612, 0.5662497064055569, 0.6092231703375504, 0.655099743969791, 0.682065360181776, 0.6972395780484446, 0.7190055998680892, 0.696919880030006, 0.7082812205556199, 0.7397096421737744, 0.7957339736504508, 0.8264540880577218, 0.8422714391325776, 0.8449086929775607, 0.8406941263444757, 0.8472633940219755, 0.8472440286797321, 0.8599732871524657, 0.8650258861399415, 0.8650701659575856, 0.8566037998835928, 0.8364690666120209]","[0.3325578166592493, 0.7761053595721296, 0.8518106635796339, 0.8996087279714754, 0.9288913512978455, 0.9506543524150963, 0.9613892354611795, 0.9638588030032842, 0.9573172223978195, 0.9263424664641617, 0.9092154598670164, 0.909783586935304, 0.9250229154804578, 0.9365530612477844, 0.9436423222301102, 0.9197584747701336, 0.9274032583072325, 0.9257371785800178, 0.9215072911590518, 0.9150839100210837, 0.9307869373166585, 0.9276968014142459, 0.9195761866589979, 0.7740653708863737]","[0.3054739294946194, 0.5601852956414223, 0.6457943850755692, 0.7021231567859649, 0.7325760054588318, 0.7650182610750198, 0.7803315770626068, 0.7841864866018295, 0.7707834547758102, 0.7301764744520187, 0.7002692383527755, 0.7383512264490127, 0.7580287003517151, 0.7813558554649354, 0.7839174365997315, 0.7554203623533249, 0.7604645949602127, 0.7502165812253953, 0.7313187700510025, 0.7240890562534332, 0.7651167124509811, 0.7381115531921387, 0.7344634485244751, 0.6959105908870697]"
prefilling,4,"[0.15002369338077526, 0.34656662811446515, 0.42800643293170443, 0.49514205596855704, 0.548763956069891, 0.600441291983156, 0.6244598654980721, 0.6402769900776969, 0.6407918703613776, 0.6384052334894037, 0.6623211480409068, 0.6989902163120053, 0.7540472999050531, 0.7820461873604789, 0.7976779255935987, 0.7920872305612733, 0.7974734570238889, 0.8001018775548662, 0.8073061812360479, 0.8163858088054098, 0.8233517828798597, 0.8218637092956839, 0.7886416116981616]","[0.35140863540818745, 0.7122869553244835, 0.822413828883832, 0.8761022008661823, 0.9175955226127385, 0.9427190685887047, 0.9466291685566166, 0.9434558401546913, 0.9054734028552471, 0.8843547867794815, 0.8870118685342967, 0.8763138913116046, 0.9005416050400824, 0.9203100182444139, 0.8975042003346689, 0.9040147281920295, 0.8804054887214658, 0.893270157752142, 0.8872916631235775, 0.8939518521863898, 0.8979614477966325, 0.8956350146394871, 0.7493112406519409]","[0.3362720148265362, 0.48535628348588944, 0.6044823595881462, 0.6684383523464202, 0.698490281701088, 0.7402790874242783, 0.7472534590959549, 0.736521784067154, 0.7013568127155304, 0.6631132537126541, 0.7058341014385223, 0.7004959148168564, 0.7347688013315201, 0.7456124538183212, 0.7243310177326202, 0.7247250598669052, 0.7077720367908478, 0.688640086054802, 0.6886158955097198, 0.7147792536020279, 0.7009904235601425, 0.7129449564218521, 0.681167163848877]"
