type,step,input_similarities,output_similarities,token_expert_predict_accuracy
prefilling,1,"[0.09084605020907567, 0.7037884474098418, 0.7947069203527147, 0.8291209632382289, 0.8286214728125121, 0.8084139065396909, 0.8213450517983365, 0.8201306888044136, 0.8349062306872755, 0.8460778874132536, 0.8568981430815383, 0.8544361730548867, 0.86063404881613, 0.8617350249938843, 0.8690925192161609, 0.8812895106155609, 0.8868948277304973, 0.8977485286118013, 0.9102454707637538, 0.919521286847069, 0.9280922890728605, 0.9098733487620544, 0.8886578933921513]","[0.9100472042276986, 0.9938571646353539, 0.9968270683305764, 0.9978907892470684, 0.9978282390742638, 0.9971517614907944, 0.9980668153855399, 0.9981035919547929, 0.9984465542060801, 0.9987348673483912, 0.9987879071127727, 0.9987843093939419, 0.9987839649288391, 0.9985963065198258, 0.9984898651101596, 0.9982899682718801, 0.9982853144812853, 0.9977512054401366, 0.998127789824388, 0.9982668302666324, 0.9985292787335099, 0.996005930277307, 0.9907874344411879]","[0.11267217546701432, 0.6016927747428418, 0.6730466532707214, 0.7242179292440415, 0.7068444883823395, 0.7465787807106972, 0.7864912623167037, 0.7912394076585769, 0.7851761454343795, 0.8292846187949181, 0.8345031735301017, 0.829735879600048, 0.8410108336806297, 0.8216767144203186, 0.8204311951994896, 0.8158816280961037, 0.7978390118479729, 0.7592903760075569, 0.7580405020713806, 0.771217195391655, 0.7849197870492935, 0.7376371178030968, 0.6531302824616432]"
prefilling,2,"[0.1051132819546009, 0.568327903808952, 0.6785784768536997, 0.7020945982510719, 0.6862681851430429, 0.6886137075192986, 0.7030024094635569, 0.7139176193606844, 0.7379789605972138, 0.7526467485418893, 0.7628493490807143, 0.7633716727796804, 0.7627995081692824, 0.7634882029429373, 0.774720941189535, 0.7854093271607719, 0.7940224753843232, 0.8124143500785385, 0.8343108556019776, 0.8506362436268009, 0.8382077007074895, 0.7811112652329114]","[0.9145860539834376, 0.9894105019170524, 0.99481438859718, 0.9960918029950047, 0.9951732778420574, 0.9954952594671215, 0.9965396176295417, 0.9968068204227037, 0.9976212734745964, 0.9977034480912573, 0.997840105649253, 0.9975751994893821, 0.9971622904603219, 0.9969328109103357, 0.9964450282185134, 0.9961075921348678, 0.9951610189303857, 0.9955093042312289, 0.9959110455658564, 0.9968253485168244, 0.9922624615690419, 0.9484306262314502]","[0.15018437419086694, 0.5446413770318032, 0.6220993065834045, 0.6199099403619767, 0.6623894321918488, 0.7121921998262405, 0.7214689144492149, 0.7086579617857933, 0.7549194785952568, 0.7822763192653656, 0.7725170916318893, 0.7698726624250412, 0.7567226570844651, 0.759043022096157, 0.731431814134121, 0.726713045835495, 0.673791806101799, 0.6500587777793407, 0.6685096004605293, 0.690478962957859, 0.659319879412651, 0.5660844677686692]"
prefilling,3,"[0.11616549095710083, 0.48893979378838404, 0.5801573750667899, 0.5898721509267795, 0.5931072806066952, 0.5955736285852581, 0.6174514405683091, 0.6416651712716785, 0.6638806385108602, 0.6764217886962623, 0.6884451164557288, 0.6839463581029754, 0.6803229590473677, 0.679296844823868, 0.6905104715201689, 0.7015439215613694, 0.7124246049340792, 0.7395441714197427, 0.7683664764497419, 0.761371322133026, 0.7074759707460505]","[0.9278801818440611, 0.9865703874290697, 0.9929858021953539, 0.9937446124238823, 0.9935771113826808, 0.993407488692703, 0.9950932170073635, 0.99632394623082, 0.9968042404415369, 0.996789485059971, 0.9965519899511198, 0.995969487604266, 0.9956316900802153, 0.9945286908654558, 0.9939138944098767, 0.9923826304750323, 0.9925443703327479, 0.9928185388536601, 0.994298778359314, 0.99059776927519, 0.909037640482622]","[0.18395747900009154, 0.48680802643299104, 0.5435919505357742, 0.6111983543634415, 0.6576474067568779, 0.656855681836605, 0.6412855541706085, 0.7076721063256264, 0.7369172567129135, 0.7388911971449852, 0.725050019621849, 0.7091065108776092, 0.7148994490504265, 0.6790141235291958, 0.6645561057329178, 0.622703927308321, 0.5765745687484741, 0.5896033237874508, 0.6118437510728836, 0.608091706931591, 0.5191004672646522]"
prefilling,4,"[0.12379166842608971, 0.4228594963080508, 0.4885756969482601, 0.5162491868274354, 0.5129700148450499, 0.5244951138151798, 0.5585162476341913, 0.5855881609779964, 0.6063029188769007, 0.6160708070868043, 0.6234714280311321, 0.6121618915284734, 0.6053067544644581, 0.5981396967821783, 0.6112217289877557, 0.6246038125329926, 0.6427418053695811, 0.6770173649557739, 0.6806012835719528, 0.635180169614003]","[0.9317687565087668, 0.9846685886472077, 0.9899290493211531, 0.9922907686382093, 0.9913360603808602, 0.9919311278478978, 0.9947808580740582, 0.9955555285545383, 0.9960656162546534, 0.995509791005692, 0.9949089363120467, 0.9942559966771621, 0.9929298838771099, 0.9918281331275229, 0.9897670661226347, 0.9897991696544314, 0.989298603985296, 0.9908597605915018, 0.9872268817536173, 0.8837504813587624]","[0.17161887779831886, 0.45604172244668006, 0.552931042611599, 0.607108234912157, 0.6098424702882767, 0.602260431945324, 0.6571469394862652, 0.6917879748344421, 0.7037617194652558, 0.691809695661068, 0.6665180084109307, 0.6741982641816139, 0.640340413749218, 0.6238726317882538, 0.5660224927961827, 0.5237585097551346, 0.5284210060536861, 0.5422181198000908, 0.5578535109758377, 0.49868900075554845]"
