L,prefix_tree_size,num_samples,avg_precision,avg_recall,avg_jaccard,time_seconds
1,32458,12430,0.5011531241619738,0.5011531241619738,0.38412289775121633,331.6490387916565
2,52307,12430,0.6134888710109949,0.6134888710109949,0.4854828250323021,1383.7665512561798
3,57812,12430,0.6356261732367927,0.6356261732367927,0.5072800061295637,2292.0418972969055
4,60979,12430,0.6054035934566907,0.6054035934566907,0.47212643618114253,3196.0742094516754
5,63000,12430,0.6073075891659963,0.6073075891659963,0.4755244782034806,4091.66335272789
6,64140,12430,0.5942075623491553,0.5942075623491553,0.4634514319148269,5003.16242313385
